Epoch,Total_Time_s,Step_Time_ms,Loss,Accuracy,Val_Loss,Val_Accuracy,LR
1,169,1000,8.0908,0.4193,5.1144,0.5160,0.0050
2,113,837,2.6641,0.8849,1.6344,0.9453,0.0050
3,112,831,1.2123,0.9598,0.8014,0.9909,0.0050
4,112,827,0.7496,0.9751,0.6234,0.9700,0.0050
5,111,824,0.5927,0.9815,0.5104,0.9823,0.0050
6,111,821,0.5014,0.9894,0.4222,0.9988,0.0005
7,111,822,0.4616,0.9943,0.4022,0.9988,0.0005
8,112,828,0.4531,0.9936,0.3835,0.9988,0.0005
9,110,818,0.4307,0.9938,0.3752,0.9992,0.0005
10,112,830,0.4107,0.9958,0.3620,0.9992,0.0005
